37,13,0,2,0.47271197846568,0.6150517,1.025489,0.9128973
37,14,0,2,0.242772801302932,0.8775558,0.8790037,0.9723777
37,15,0,2,0.281560601877416,0.8262106,0.8642011,0.9811403
37,25,0,1,1.7162615255658,1.080516,1.035922,0.983725
37,26,0,1,1.49074074074074,1.093432,1.022966,0.9950426
37,37,0,1,0.747983870967742,1.319409,1.071571,0.9859979
37,38,0,1,1.21804511278195,1.05091,1.025853,0.9930651
37,39,0,1,1.00941780821918,0.9267465,1.065246,0.9835263
38,13,0,2,0.396176827090036,0.88865695,0.92555225,0.98566475
38,14,0,2,0.427045267712077,0.85315875,0.9454915,0.9965401
38,15,0,2,0.417383859451048,0.82579315,0.9430797,1.003714
38,25,0,1,2.29983277895449,1.2413795,1.103461,0.9858884
38,26,0,1,2.58569774051367,1.2416715,1.15675,1.010966
38,37,0,1,0.984474659516768,1.03926575,1.0443135,0.9990257
38,38,0,1,1.30174362248064,1.0180523,1.030998,0.9923229
38,157,0,2,0.72973452103472,0.9339949,0.9838251,0.9906356
38,158,0,2,0.841388193528568,0.9617061,0.98586395,0.99505985
38,159,0,2,0.937995264285746,0.95410135,0.9910736,1.00080275
38,169,0,1,1.34161899098187,0.94447605,1.0546475,0.983435
38,170,0,1,1.21461691282931,0.90927275,1.029056,0.998769
40,65,0,2,1.31300376721389,2.6871195,1.0658315,0.98447705
40,66,0,2,1.03268828896272,2.988968,1.0650555,0.99037825
40,67,0,2,1.08492317348428,4.537515,1.0445844,0.99442045
40,77,0,1,1.89403397312327,1.2190055,1.0475605,0.9732024
40,78,0,1,1.45999124078186,1.129437,1.0417085,0.9872879
40,79,0,1,1.07720791842499,1.06553,1.0111865,0.9915047
40,91,0,1,1.0922154731291,1.0459508,1.020501,0.9977292
40,126,0,2,1.02163147851346,0.99517845,0.97933875,0.9951831
40,127,0,2,0.990946757583484,1.014406,1.00107975,0.99828455
40,128,0,2,0.945515754015261,0.9916762,0.99063965,1.0022865
40,137,0,1,1.28932627154006,1.079306,1.0257685,0.9875969
40,138,0,1,1.20446209348526,1.0616125,1.022304,0.99373825
40,139,0,1,1.05329336856131,1.0056165,1.0139135,0.9969697
42,2,0,2,2.08651688112201,0.9942868,1.034958,1.0045895
42,3,0,2,1.34856386036512,0.97654245,1.00928415,0.9937426
42,4,0,2,0.980229557640465,0.95458305,1.00540765,0.9984038
42,86,0,1,0.875423304606584,0.926338,1.005567,1.001999
42,87,0,1,0.854993137930429,0.8803428,0.997544,1.0090705
43,13,0,1,2.81539929834643,1.247582,1.168007,0.9817002
43,14,0,1,3.00809651644737,1.256728,1.1702595,0.97683105
43,137,0,1,2.61875358561136,1.3816295,1.168623,0.9847481
43,138,0,1,2.57301205294982,1.257127,1.1603685,0.9768746
44,1,0,2,0.503796414843558,0.8547498,0.97753655,0.98832385
44,2,0,2,0.551630074807947,0.86092035,0.9679412,0.9947999
44,3,0,2,0.66595631226329,0.88095425,0.96565505,0.99968735
44,13,0,1,1.16764835669835,0.9846867,1.0510685,0.9849923
44,14,0,1,1.34996089527221,0.9460675,1.053952,0.9921545
44,15,0,1,1.61990752564398,1.05014625,1.0578995,0.97640815
44,25,0,1,1.04066046092847,0.846769,0.997021,1.0025565
44,26,0,1,0.941826870354532,0.84950365,1.0244145,0.9941374
45,1,0,2,2.59709353496907,1.2436655,1.082275,0.9429054
45,2,0,2,2.56642735631869,1.2756775,1.1172835,0.946302
45,3,0,2,1.52693720525718,1.114638,1.042288,0.9766897
45,13,0,1,1.66393267752244,1.1658405,1.059146,0.99442125
45,14,0,1,1.3755036320456,1.0774825,1.01606405,0.99927285
45,15,0,1,1.36103213393727,1.077515,1.048655,0.9871005
45,37,0,2,3.43566987598563,1.316467,0.9900262,0.97211255
45,38,1,0,2.71651548612948,1.382382,1.068284,0.9536932
45,39,0,2,1.7986252231904,1.2214405,1.050728,0.9602533
