37,13,1,2,-0.0076102825202614,0.173234630662213,0.360010179669889,NaN,-19.6,4.0949,-23.6949,0,-1.30670966636091,NaN,NaN,NaN,NaN,NaN,NaN
37,14,1,2,-0.00779044933087827,0.362812114493348,0.228917431026619,NaN,-19.6,3.7283,-23.3283,0,-1.1502585447413,NaN,NaN,NaN,NaN,NaN,NaN
37,15,1,2,-0.0147037807291296,0.543871441696573,0.099189075905924,NaN,-19.6,3.7043,-23.3043,0,-1.11978064682937,NaN,NaN,NaN,NaN,NaN,NaN
37,25,1,1,0.315968692917325,0.553092265133487,0.510358864760181,0,-19.6,-13.1416,-6.4584,0,-19.2997625389509,0,0,0,0,0,0
37,26,1,1,0.337283704087533,0.734119201264988,0.348305130154966,0,-19.6,-14.3133,-5.2867,0,-20.5318938713453,0,0,0,0,0,0
37,37,1,1,0.486659350366179,0.557803425901195,0.68558883092563,1,-19.6,-21.6799,2.0799,1,-27.393643863169,0,1,1,-1,0,0
37,38,1,1,0.493739616530711,0.752308240198535,0.579207225502306,1,-19.6,-22.5062,2.9062,1,-28.561673223832,0,1,1,-1,0,0
37,39,1,1,0.502511152627003,0.936638707618616,0.4658549636543,1,-19.6,-23.3299,3.7299,0,-29.7518197725264,1,1,1,0,0,0
38,13,1,2,-0.0400301724633611,0.255173768782048,0.281592500974649,NaN,-19.4,6.7888311586158,-26.1888311586158,0,-1.09106131651952,NaN,NaN,NaN,NaN,NaN,NaN
38,14,1,2,-0.0437382165588331,0.441151318028643,0.156924460705246,NaN,-19.4,7.12273294470279,-26.5227329447028,0,-0.375208844459152,NaN,NaN,NaN,NaN,NaN,NaN
38,15,1,2,-0.0433487060395996,0.625395153940606,0.0444567852934045,NaN,-19.4,7.21417925122178,-26.6141792512218,0,-0.238902311662531,NaN,NaN,NaN,NaN,NaN,NaN
38,25,1,1,0.230536989512225,0.628528910806487,0.673532514690456,0,-19.4,-8.65902497795203,-10.740975022048,0,-16.2901937891475,0,0,0,0,0,0
38,26,1,1,0.246152784397768,0.75822216651153,0.439701133822493,0,-19.4,-9.04880191819111,-10.3511980818089,0,-15.3176399322258,0,0,0,0,0,0
38,37,1,1,0.563411800421903,0.675501390934039,0.587779450600589,1,-19.4,-26.0379708783635,6.6379708783635,0,-29.0865693127281,1,1,1,0,0,0
38,38,1,1,0.591199891676746,0.837324348263015,0.361437598192462,1,-19.4,-27.1116052677309,7.7116052677309,0,-30.0196228636403,1,1,1,0,0,0
38,157,2,2,0.0122570986420606,0.759387300501176,0.287988944007994,NaN,-24.2,0.0859766719850441,-24.285976671985,0,-2.32590002194123,NaN,NaN,NaN,NaN,NaN,NaN
38,158,2,2,-0.00457009832952447,0.584775204743457,0.211136350960526,NaN,-24.2,-0.40933228591145,-23.7906677140885,0,-2.03283474463214,NaN,NaN,NaN,NaN,NaN,NaN
38,159,2,2,-0.0193130946549749,0.399547569416472,0.150760632491765,NaN,-24.2,-1.12118354015351,-23.0788164598465,0,-2.09231135459284,NaN,NaN,NaN,NaN,NaN,NaN
38,169,2,1,0.426963413203095,0.361554063560982,0.863427538796482,0,-24.2,-22.876052626648,-1.323947373352,1,-23.4339734140311,0,1,1,0,1,1
38,170,2,1,0.401249986479955,0.184351726520671,0.754670273179903,0,-24.2,-22.9247580783956,-1.2752419216044,1,-23.2014464685866,0,1,1,0,1,1
40,65,1,2,0.0300573822378786,0.178849240799347,0.301060593112001,NaN,-15.6,4.3151,-19.9151,0,-2.33821463552641,NaN,NaN,NaN,NaN,NaN,NaN
40,66,1,2,0.0408268197387726,0.355016970863689,0.224896458695534,NaN,-15.6,3.1943,-18.7943,0,-2.83985046272641,NaN,NaN,NaN,NaN,NaN,NaN
40,67,1,2,0.05323970525115,0.534538468641888,0.129241968364848,NaN,-15.6,2.0911,-17.6911,0,-3.25983556192641,NaN,NaN,NaN,NaN,NaN,NaN
40,77,1,1,0.317040721954205,0.546568139314518,0.702575647489655,0,-15.6,-13.7901,-1.8099,1,-19.0943926519264,0,0,0,0,0,0
40,78,1,1,0.34563172855681,0.714385297642005,0.570846056071753,0,-15.6,-15.3712,-0.2288,1,-19.8401902900264,0,0,0,0,0,0
40,79,1,1,0.370749509315836,0.873687620972552,0.440140046958262,1,-15.6,-16.7434,1.1434,1,-20.4165141423264,0,1,0,-1,-1,0
40,91,1,1,0.691994617781514,0.935189776190766,0.697065811525755,1,-15.6,-33.7581,18.1581,0,-36.1877585219264,1,1,1,0,0,0
40,126,2,2,0.0394541929950271,0.66781649245241,0.682732818458663,NaN,-14.1,4.5337,-18.6337,0,-6.52923215592641,NaN,NaN,NaN,NaN,NaN,NaN
40,127,2,2,0.0251524549729446,0.522557952196336,0.593553751372408,NaN,-14.1,5.509,-19.609,0,-6.16139930832641,NaN,NaN,NaN,NaN,NaN,NaN
40,128,2,2,0.0164483649654124,0.372650142151803,0.514989965510427,NaN,-14.1,6.1591,-20.2591,0,-6.12917326602641,NaN,NaN,NaN,NaN,NaN,NaN
40,137,2,1,0.344440598270041,0.319928937570657,0.758832367673275,0,-14.1,-10.254,-3.846,0,-21.4654465371264,0,0,1,0,1,0
40,138,2,1,0.348000170806285,0.190483127862917,0.566735875863042,0,-14.1,-9.4349,-4.6651,0,-20.9074260660264,0,0,0,0,0,0
40,139,2,1,0.356491072629164,0.0596627281334259,0.353799247861654,0,-14.1,-8.7138,-5.3862,0,-20.3918451073264,0,1,0,0,0,1
42,2,1,2,0.0786639946967961,0.386858641702021,0.249987056798352,NaN,-19.6,-0.852838110448527,-18.7471618895515,0,-7.41142108595163,NaN,NaN,NaN,NaN,NaN,NaN
42,3,1,2,0.0779074359014979,0.55403771343798,0.153127030300376,NaN,-19.6,-0.639434714473294,-18.9605652855267,0,-5.8517494200328,NaN,NaN,NaN,NaN,NaN,NaN
42,4,1,2,0.0774038011840196,0.729252533619903,0.0465979568257247,NaN,-19.6,-0.408426730268676,-19.1915732697313,0,-4.6530753910494,NaN,NaN,NaN,NaN,NaN,NaN
42,86,1,1,0.437862596057331,0.856099593382954,0.655233963713291,1,-19.6,-21.0965580501428,1.4965580501428,1,-26.404897738298,0,1,1,-1,0,0
42,87,1,1,0.449391305349626,1.02353363084019,0.540754468748277,1,-19.6,-21.416365834596,1.816365834596,1,-26.4113196501829,0,1,1,-1,0,0
43,13,1,1,0.177692447924693,0.449342072672188,0.689097341694049,0,-23.8,-11.3884,-12.4116,0,-19.1282541734545,0,0,0,0,0,0
43,14,1,1,0.21177020029716,0.634953014357881,0.436351355169966,0,-23.8,-13.6703,-10.1297,0,-20.0063837532545,0,0,0,0,0,0
43,137,2,1,0.33545276168187,0.480385235153669,0.573497837182322,0,-21.3,-15.0364,-6.2636,0,-25.3042652092545,0,0,1,0,1,0
43,138,2,1,0.325210089610154,0.307865762673795,0.327002364461765,0,-21.3,-14.4341,-6.8659,0,-24.3842744918545,0,0,1,0,1,0
44,1,2,2,0.0104310919129631,0.729698236410392,0.315095967290345,NaN,-12.5,6.52741304947778,-19.0274130494778,0,-2.75263305726142,NaN,NaN,NaN,NaN,NaN,NaN
44,2,2,2,-0.0141349877920382,0.547203129166794,0.286794996180833,NaN,-12.5,6.51908249245768,-19.0190824924577,0,-2.29620008713755,NaN,NaN,NaN,NaN,NaN,NaN
